"","Name","Gender","Count"
"942","Margot","F",268
"943","Audriana","F",267
"944","Emerie","F",267
"945","Giada","F",267
"946","Harlee","F",267
"947","Moriah","F",267
"948","Neriah","F",267
"949","Rihanna","F",267
"950","Ellison","F",266
"951","Gwen","F",266
"952","Lillyana","F",266
"953","Tamia","F",266
"954","Wynter","F",266
"955","Annabell","F",265
"956","Alisson","F",264
"957","Belinda","F",264
"958","Cristina","F",264
"959","Emmaline","F",263
"960","Araceli","F",262
"961","Kylah","F",262
"962","Ayana","F",261
"963","Giovanna","F",261
"964","Kailani","F",261
"965","Karma","F",261
"966","Charity","F",260
"967","Kaiya","F",260
"968","Zainab","F",260
"969","India","F",259
"970","Karissa","F",259
"971","Devyn","F",258
"972","Marleigh","F",258
"973","Nahla","F",258
"974","Natalya","F",258
"975","Estelle","F",257
"976","Magnolia","F",257
"977","Meadow","F",257
"978","Sarahi","F",257
"979","Astrid","F",256
"980","Kaidence","F",256
"981","Princess","F",256
"982","Amia","F",255
"983","Audrianna","F",255
"984","Ireland","F",255
"985","Kaylyn","F",255
"986","Bayleigh","F",253
"987","Jayde","F",253
"988","Karly","F",253
"989","Roxanne","F",253
"990","Alaysia","F",252
"991","Avalyn","F",252
"992","Dalilah","F",252
"993","Judith","F",252
"994","Makena","F",252
"995","Kenna","F",251
"996","Penny","F",251
"997","Ryann","F",251
"998","Tess","F",251
"999","Tinley","F",251
"1000","Ali","F",250
"1001","Kaelynn","F",250
"1002","Lyra","F",250
"1003","Aubriella","F",249
"1004","Collins","F",248
"1005","Esperanza","F",248
"1006","Noa","F",248
"1007","Alianna","F",247
"1008","Faye","F",247
"1009","Kasey","F",247
"1010","Riya","F",247
"1011","Vienna","F",247
"1012","Cambria","F",246
"1013","Kaitlin","F",246
"1014","Nathalia","F",246
"1015","Abbie","F",245
"1016","Aubriana","F",245
"1017","Emmeline","F",245
"1018","Louisa","F",245
"1019","Jana","F",244
"1020","Jenesis","F",244
"1021","Naya","F",244
"1022","Rachael","F",244
"1023","Tia","F",244
"1024","Khaleesi","F",243
"1025","Neveah","F",243
"1026","Cheyanne","F",242
"1027","Kaley","F",242
"1028","Pyper","F",242
"1029","Remington","F",242
"1030","Treasure","F",242
"1031","Antonia","F",241
"1032","Kinsey","F",241
"1033","Sariyah","F",241
"1034","Bree","F",240
"1035","Kataleya","F",240
"1036","Mattie","F",240
"1037","Raylee","F",240
"1038","Arden","F",239
"1039","Kaleah","F",239
"1040","Katrina","F",239
"1041","Yesenia","F",239
"1042","Gisselle","F",238
"1043","Analia","F",237
"1044","Maxine","F",237
"1045","Alisa","F",236
"1046","Aya","F",236
"1047","Hadleigh","F",236
"1048","Harmoni","F",236
"1049","Hayleigh","F",236
"1050","Kendyl","F",236
"1051","Maylee","F",236
"1052","Samira","F",236
"1053","Amaris","F",235
"1054","Dalia","F",235
"1055","Elissa","F",235
"1056","Emani","F",235
"1057","Kailynn","F",235
"1058","Karleigh","F",235
"1059","Addilynn","F",234
"1060","Berkley","F",234
"1061","Bonnie","F",234
"1062","Fallon","F",234
"1063","Jazmyn","F",234
"1064","Landry","F",234
"1065","Nala","F",234
"1066","Honesty","F",233
"1067","Kendal","F",233
"1068","Carina","F",232
"1069","Dani","F",232
"1070","Valery","F",232
"1071","Noor","F",231
"1072","Aanya","F",230
"1073","Carleigh","F",230
"1074","Emmie","F",230
"1075","Larissa","F",230
"1076","Meghan","F",230
"1077","Mylah","F",230
"1078","Yaretzy","F",230
"1079","Akira","F",229
"1080","Mylee","F",229
"1081","Ari","F",228
"1082","Kayleen","F",228
"1083","Stacy","F",228
"1084","Joelle","F",227
"1085","Marlene","F",227
"1086","Milani","F",227
"1087","Saanvi","F",227
"1088","Clementine","F",226
"1089","Ellis","F",226
"1090","Leela","F",226
"1091","Drew","F",225
"1092","Reece","F",225
"1093","Janney","F",224
"1094","Kensington","F",224
"1095","Reina","F",224
"1096","Tinsley","F",224
"1097","Brisa","F",223
"1098","Kamille","F",223
"1099","Maite","F",223
"1100","Marlie","F",223
"1101","Abbey","F",222
"1102","Karmen","F",222
"1103","Zoya","F",222
"1104","Adley","F",220
"1105","Anneliese","F",220
"1106","Rilynn","F",220
"1107","Stevie","F",220
"1108","Suri","F",220
"1109","Annelise","F",219
"1110","Azariah","F",219
"1111","Cailyn","F",219
"1112","Jacey","F",219
"1113","Ashtyn","F",218
"1114","Ellianna","F",218
"1115","Haylie","F",218
"1116","Maisie","F",218
"1117","Remy","F",218
"1118","Rhea","F",218
"1119","Sally","F",218
"1120","Elina","F",216
"1121","Jakayla","F",216
"1122","Kelsie","F",216
"1123","Promise","F",216
"1124","Bentley","F",215
"1125","Londynn","F",215
