"","Name","Counts"
"636","MADALYNN",2229
"637","MADYSON",2227
"638","ANSLEY",2221
"639","MYAH",2220
"640","NATALY",2218
"641","FRANCES",2213
"642","LAYLAH",2212
"643","JAYLEE",2209
"644","ZOIE",2208
"645","SHAYLA",2201
"646","MIRA",2200
"647","AMELIE",2194
"648","CHARLI",2190
"649","SIENA",2188
"650","EMELIA",2184
"651","BRENNA",2168
"652","MILAN",2163
"653","IRENE",2162
"654","EDITH",2158
"655","CLAUDIA",2154
"656","WINTER",2153
"657","DESIREE",2152
"658","JAZLYNN",2137
"659","LILIANNA",2135
"660","CARA",2134
"661","KARLEE",2132
"662","MALEAH",2130
"663","YARELI",2128
"664","KAYDEN",2109
"665","LIZBETH",2109
"666","AMIYA",2106
"667","CLARISSA",2099
"668","ELIANNA",2098
"669","NANCY",2096
"670","RAQUEL",2091
"671","ARELY",2090
"672","KENYA",2083
"673","ALENA",2078
"674","ALLY",2071
"675","KATHLEEN",2071
"676","EMMY",2069
"677","ISABELA",2069
"678","KENSLEY",2067
"679","GIANA",2060
"680","DALLAS",2057
"681","KASSANDRA",2055
"682","KALLIE",2054
"683","MAE",2053
"684","ARMANI",2052
"685","AZALEA",2049
"686","JANESSA",2046
"687","KARSYN",2045
"688","KYNLEE",2045
"689","PEARL",2039
"690","SARIAH",2038
"691","ALIANA",2032
"692","SIMONE",2032
"693","HAILEE",2024
"694","ELAINE",2019
"695","JEMMA",2017
"696","LAILAH",2017
"697","TORI",2015
"698","ELLEN",2014
"699","IVANNA",2014
"700","BRYANNA",2009
"701","LINDSAY",2002
"702","CHAYA",1999
"703","EMILIE",1989
"704","JAYLENE",1988
"705","HALLE",1987
"706","ARIAH",1982
"707","LEYLA",1979
"708","ALIA",1976
"709","CHRISTINE",1976
"710","DANA",1976
"711","NATALEE",1976
"712","ABBIGAIL",1975
"713","PAITYN",1975
"714","DEMI",1972
"715","PATRICIA",1971
"716","RENATA",1965
"717","AMYA",1956
"718","FREYA",1953
"719","NOEMI",1946
"720","CLARE",1945
"721","MYRA",1941
"722","CHANEL",1940
"723","KIMBER",1938
"724","KRISTINA",1938
"725","LEANNA",1938
"726","ISIS",1933
"727","SANDRA",1933
"728","REYNA",1930
"729","MARISOL",1923
"730","LIVIA",1919
"731","MALAYA",1919
"732","CORALINE",1918
"733","AMIRAH",1906
"734","JANIYA",1901
"735","KRISTEN",1896
"736","LILITH",1895
"737","LISA",1895
"738","CASEY",1893
"739","AIYANA",1884
"740","MOLLIE",1884
"741","ALIYA",1881
"742","JOSLYN",1881
"743","ALISSA",1872
"744","BLAIR",1872
"745","DANIKA",1870
"746","DENISE",1869
"747","SAIGE",1862
"748","EILEEN",1851
"749","REMI",1848
"750","ALMA",1839
"751","CORINNE",1836
"752","LORELAI",1831
"753","MARTHA",1831
"754","KAILEE",1830
"755","ADRIENNE",1827
"756","HADASSAH",1826
"757","CAROLYN",1825
"758","TALIYAH",1818
"759","WENDY",1814
"760","BRILEY",1810
"761","JOLIE",1804
"762","SANIYAH",1804
"763","AVAH",1803
"764","CARLEE",1802
"765","MARA",1801
"766","CINDY",1796
"767","LILLIANNA",1796
"768","ASIA",1790
"769","MINA",1790
"770","AVERI",1788
"771","ZANIYAH",1788
"772","MABEL",1786
"773","CELIA",1784
"774","HENLEY",1783
"775","ILIANA",1783
"776","KIMORA",1783
"777","ARYANA",1781
"778","ELIN",1773
"779","AYLEEN",1770
"780","GALILEA",1769
"781","MARIYAH",1763
"782","RYLAN",1762
"783","ZION",1760
"784","KIANA",1746
"785","ZARIYAH",1743
"786","AVIANA",1739
"787","LEONA",1737
"788","ELLIOT",1734
"789","MCKAYLA",1733
"790","YASMIN",1729
"791","CHERISH",1726
"792","EMORY",1722
"793","AIMEE",1721
"794","DEBORAH",1719
"795","TABITHA",1716
"796","KORA",1713
"797","MILANIA",1710
"798","JAYLIN",1701
"799","SHERLYN",1697
"800","JAIDA",1695
"801","NATHALY",1694
"802","ALAYA",1691
"803","NOLA",1690
"804","AYANNA",1684
"805","CARLA",1675
"806","KEYLA",1675
"807","TARYN",1675
"808","CARTER",1674
"809","DOROTHY",1673
"810","EMMALEE",1670
"811","JORDYNN",1668
"812","DIAMOND",1665
"813","RAYNA",1664
"814","MILANA",1661
"815","ROSELYN",1661
"816","KAYA",1659
"817","LINA",1658
"818","KAITLYNN",1651
"819","ZARIA",1647
"820","CHANA",1645
"821","SALMA",1645
"822","HEATHER",1644
"823","PALOMA",1641
"824","HANA",1638
"825","ANGELINE",1635
"826","JOLENE",1628
"827","ALIZA",1621
"828","BARBARA",1620
"829","JOCELYNN",1620
"830","JENNY",1619
"831","YAMILETH",1618
"832","KENNA",1616
"833","SKY",1616
"834","JULIANNE",1613
"835","MEADOW",1613
"836","JANAE",1612
"837","SUSAN",1612
"838","KOURTNEY",1606
"839","WREN",1603
"840","EMMALYNN",1599
"841","KALEIGH",1599
"842","PAULINA",1598
"843","THEA",1598
"844","PAULA",1593
"845","LESLY",1591
"846","JAYDE",1590
"847","MONTSERRAT",1587
"848","SLOAN",1587
"849","JESSA",1584
"850","SIDNEY",1580
"851","KENIA",1578
"852","MERCEDES",1577
"853","MARGOT",1572
"854","AMERICA",1571
"855","JOYCE",1571
"856","THALIA",1570
"857","GIOVANNA",1568
"858","RORY",1568
"859","LARA",1567
"860","ALISHA",1559
"861","ESME",1556
"862","MONSERRAT",1555
"863","RAINA",1554
"864","AUBRI",1553
"865","BRYN",1552
"866","ALANNAH",1551
"867","AVIANNA",1551
"868","LAUREL",1548
"869","DIXIE",1547
"870","CELINE",1546
"871","ARIYAH",1542
"872","KAIRI",1539
"873","SAYLOR",1536
"874","KAIYA",1534
"875","LIV",1533
"876","ABRIL",1531
"877","LENNON",1530
"878","RYANN",1530
"879","SHARON",1529
"880","KYNDALL",1527
"881","AUDRIANA",1526
"882","MILENA",1526
"883","AUBRIELLE",1520
"884","BRYLEIGH",1518
"885","MONROE",1517
"886","TARA",1517
"887","JEWEL",1516
"888","TEGAN",1515
"889","AUBRIANNA",1513
"890","KORI",1513
"891","MACEY",1508
"892","ALYVIA",1506
"893","SHANNON",1505
"894","SONIA",1505
"895","ZAHRA",1503
"896","AURELIA",1500
"897","ALISSON",1495
"898","MALIAH",1492
"899","MICAH",1492
"900","ADALINE",1488
"901","YARITZA",1487
"902","KARLIE",1485
"903","SAMIYAH",1480
"904","KRYSTAL",1478
"905","ELLIOTT",1476
"906","EVERLEIGH",1474
"907","LILYANNA",1471
"908","MARIANNA",1469
"909","SCARLETTE",1462
"910","LILIA",1460
"911","AZARIA",1458
"912","IVORY",1456
"913","INGRID",1455
"914","MAGNOLIA",1455
"915","OAKLEY",1455
"916","TEMPERANCE",1455
"917","MORIAH",1451
"918","DESTINEE",1447
"919","EVALYN",1447
"920","RAYNE",1445
"921","JUDITH",1436
"922","KAI",1435
"923","PATIENCE",1432
"924","ARIYA",1428
"925","CARLIE",1428
"926","MIYA",1427
"927","LIBBY",1426
"928","COLLINS",1424
"929","RENEE",1424
"930","AMALIA",1420
"931","LUZ",1419
"932","ESTELLA",1417
"933","SUTTON",1416
"934","RIVKA",1404
"935","BELEN",1401
"936","MAISIE",1401
"937","MILANI",1401
"938","EMMALINE",1400
"939","KATALINA",1398
"940","REGAN",1398
"941","REMINGTON",1398
"942","HUNTER",1396
"943","ANN",1392
"944","CHARLIZE",1385
"945","ABBIE",1384
"946","GIADA",1382
"947","HARLEE",1381
"948","AMIA",1380
"949","NOA",1380
"950","ALI",1372
"951","AYANA",1369
"952","ABRIELLE",1366
"953","KAELYNN",1364
"954","MERCY",1364
"955","PENNY",1364
"956","ESTELLE",1363
"957","MEGHAN",1361
"958","ANNALEE",1356
"959","JULIETA",1356
"960","MATTIE",1353
"961","RIHANNA",1352
"962","SANIYA",1351
"963","TAMIA",1351
"964","ASTRID",1349
"965","HALEIGH",1347
"966","ROSIE",1347
"967","GWEN",1341
"968","ESPERANZA",1337
"969","PRINCESS",1337
"970","NATALYA",1336
"971","KAITLIN",1335
"972","SARAHI",1333
"973","ALEIGHA",1332
"974","ARACELI",1329
"975","ELLISON",1329
"976","CRISTINA",1328
"977","DEANNA",1326
"978","CARLEY",1325
"979","CAMPBELL",1322
"980","AZARIAH",1320
"981","CAMBRIA",1318
"982","BONNIE",1317
"983","ZAINAB",1316
"984","KAILANI",1314
"985","ANALIA",1313
"986","MARLEIGH",1313
"987","KENDAL",1311
"988","AMARIS",1310
"989","SAANVI",1310
"990","HADLEE",1303
"991","LARISSA",1301
"992","KYLAH",1300
"993","REINA",1299
"994","CHARITY",1298
"995","KAYLEN",1298
"996","NATHALIA",1298
"997","BRITNEY",1297
"998","DALIA",1297
"999","TINLEY",1297
"1000","KARIS",1296
"1001","WYNTER",1294
"1002","AYA",1289
"1003","ALIANNA",1288
"1004","BRISA",1288
"1005","ALISA",1287
"1006","SARIYAH",1284
"1007","EMMELINE",1283
"1008","KARISSA",1281
"1009","NEVEAH",1279
"1010","KAILYNN",1277
"1011","KARMA",1277
"1012","KAYLYN",1277
"1013","NAYA",1276
"1014","ADDILYNN",1274
"1015","LANDRY",1273
"1016","TARAJI",1272
"1017","ALAYSIA",1271
"1018","RIYA",1271
"1019","DEVYN",1270
"1020","EMERIE",1268
"1021","LYRA",1265
"1022","MARJORIE",1265
"1023","ANABEL",1262
"1024","KASEY",1262
"1025","AKIRA",1261
"1026","IRELAND",1255
"1027","RACHAEL",1255
"1028","KAIDENCE",1254
"1029","BAYLEIGH",1253
"1030","TESS",1253
"1031","RAYLEE",1250
"1032","FRIDA",1249
"1033","LOUISA",1248
"1034","GWYNETH",1240
"1035","NAHLA",1240
"1036","MARITZA",1236
"1037","VIENNA",1236
"1038","ANNABELL",1235
"1039","BREE",1232
"1040","CARLEIGH",1232
"1041","ANTONIA",1229
"1042","JAZMYN",1229
"1043","HAYLIE",1223
"1044","FAYE",1221
"1045","GISSELLE",1219
"1046","NOOR",1219
"1047","AUDRIANNA",1216
"1048","AANYA",1212
"1049","CLEMENTINE",1211
"1050","GIAVANNA",1211
"1051","DIYA",1210
"1052","REMY",1208
"1053","YESENIA",1208
"1054","ARIADNE",1206
"1055","MARLENE",1205
"1056","TIA",1205
"1057","LILLYANA",1204
"1058","JAKAYLA",1203
"1059","INDIA",1202
"1060","KINSEY",1201
"1061","KINSLEE",1200
"1062","KATRINA",1196
"1063","HADLEIGH",1193
"1064","JANA",1189
"1065","CARINA",1187
"1066","CHEYANNE",1186
"1067","ARDEN",1185
"1068","DALILAH",1184
"1069","AUBRIANA",1183
"1070","NALA",1183
"1071","DANI",1180
"1072","ADLEY",1178
"1073","STEVIE",1178
"1074","HARMONI",1177
"1075","TREASURE",1175
"1076","JAQUELINE",1173
"1077","ASHTYN",1172
"1078","KELSIE",1172
"1079","PYPER",1172
"1080","ELLIANNA",1170
"1081","HAYLEIGH",1170
"1082","MAKENA",1169
"1083","ELISSA",1166
"1084","CAYDENCE",1165
"1085","JOELLE",1165
"1086","KENDYL",1162
"1087","HOLLAND",1159
"1088","KALEY",1156
"1089","BERKLEY",1154
"1090","AVALYN",1152
"1091","MAGDALENA",1151
"1092","JACQUELYN",1150
"1093","NERIAH",1150
"1094","RHEA",1149
"1095","TINSLEY",1149
"1096","ELLIS",1148
"1097","HONESTY",1148
"1098","SELINA",1148
"1099","STACY",1147
"1100","AUBRIELLA",1146
"1101","IZABELLE",1146
"1102","SANAA",1144
"1103","KAMILLE",1141
"1104","BELINDA",1140
"1105","CORDELIA",1140
"1106","ELINA",1137
"1107","KYNDAL",1137
"1108","PROMISE",1137
"1109","MYLAH",1135
"1110","KARLEIGH",1133
"1111","ANNISTON",1131
"1112","ROXANNE",1131
"1113","MAYLEE",1130
"1114","CAILYN",1129
"1115","KHALEESI",1128
"1116","JURNEE",1122
"1117","LITZY",1122
"1118","FALLON",1121
"1119","AVALYNN",1117
"1120","MAREN",1115
"1121","AYVA",1113
"1122","BENTLEY",1112
"1123","ELLERY",1108
"1124","JACEY",1108
"1125","SAMIRA",1107
"1126","KEILY",1106
"1127","VEDA",1105
"1128","ADDIE",1103
"1129","MICAELA",1101
"1130","KAMILAH",1099
"1131","EMANI",1098
"1132","TIANNA",1098
"1133","LILLYANNA",1097
"1134","ALIAH",1094
"1135","JENESIS",1094
"1136","RILYNN",1093
"1137","KAYLEEN",1090
"1138","SOFIE",1090
"1139","CARISSA",1088
